step,phase,tool_ms,update_ms,export_ms,metrics_ms,pipeline_ms,render_ms,faces,remaining_faces,overcut_faces,removed_mm3,completion_pct
14,面粗,2.3028999999041844,10.456099999828439,0.9245999999620835,10.773999999855732,24.46700000018609,0.0,41626,1145,43,44.780912437105144,5.289038526302319
15,面粗,1.8631000002642395,9.395100000347156,0.7252000000335102,10.40869999997085,22.398600000087754,0.0,41626,1145,43,44.780912437105144,5.289038526302319
16,面粗,1.934499999606487,9.056500000042433,0.6681999998363608,10.536200000387907,22.200899999916146,0.0,41626,1145,43,44.780912437105144,5.289038526302319
17,面粗,2.3505999997723848,9.98699999991004,0.8827000001474516,10.325899999770627,23.55329999954847,0.0,41784,1180,43,48.92989293739811,5.779071366560925
18,面粗,2.289299999574723,9.963900000002468,0.8901000001060311,10.67460000012943,23.826199999803066,0.0,41946,1220,43,53.80422457041277,6.3547748615086315
19,面粗,1.9931000001633947,9.018100000048435,0.9912000000440457,10.448499999711203,22.459799999978713,0.0,41946,1220,43,53.80422457041277,6.3547748615086315
20,面粗,1.8850000001293665,8.898600000065926,0.8968000001914334,10.612699999910546,22.299600000224018,0.0,41946,1220,43,53.80422457041277,6.3547748615086315
21,面粗,2.311100000042643,10.27539999995497,0.7210000003396999,10.589099999833707,23.902299999917886,0.0,42196,1243,43,60.1221355666421,7.100978385426067
22,面粗,2.2782000000916014,11.273199999777717,0.9381999998367974,22.427900000366208,36.92529999989347,0.0,42468,1272,43,66.0437330280256,7.800373627863339
23,面粗,2.2153999998408835,11.480200000278273,1.1538999997355859,11.266999999861582,26.123000000097818,0.0,42468,1272,43,66.0437330280256,7.800373627863339
24,面粗,2.109299999574432,10.987000000113767,1.4068000000406755,11.464199999863922,25.975199999720644,0.0,42468,1272,43,66.0437330280256,7.800373627863339
25,面粗,2.435200000036275,13.132900000073278,1.2679999999818392,12.39339999983713,29.23740000005637,0.0,42676,1319,43,71.24340959692927,8.414503358602268
26,面粗,2.7804000001196982,12.247300000126415,1.2732000000141852,10.872500000004948,27.180000000043947,0.0,42846,1351,43,75.95386975709698,8.97085212212357
27,面粗,2.0246999997652892,10.880599999836704,1.252799999747367,11.408200000005309,25.57379999961995,0.0,42846,1351,43,75.95386975709698,8.97085212212357
28,面粗,2.1385000000009313,10.706300000038027,1.271300000098563,11.287799999990966,25.410899999769754,0.0,42846,1351,43,75.95386975709698,8.97085212212357
29,面粗,2.476300000125775,13.407500000084838,1.3275999999677879,11.362499999904685,28.5823000003802,0.0,43100,1394,43,81.0678101142912,9.574855615987195
30,面粗,2.7069000002484245,10.981099999753496,0.9648000000197499,10.829299999841169,25.490999999874475,0.0,43228,1425,43,85.07713875757327,10.04839428469363
31,面粗,1.9698999999491207,9.347600000182865,0.7694000000810775,10.94699999976001,23.042899999836663,0.0,43228,1425,43,85.07713875757327,10.04839428469363
32,面粗,1.8801999999595864,9.744599999976344,0.8526999999958207,11.189899999862973,23.67420000018683,0.0,43228,1425,43,85.07713875757327,10.04839428469363
33,面粗,2.347900000131631,11.03770000008808,0.9460999999646447,11.815800000022136,26.15590000004886,0.0,43352,1454,43,89.73668282011204,10.598729387766486
34,面粗,2.3264999999810243,11.216500000045926,1.0505999998713378,12.38649999959307,26.987300000200776,0.0,43528,1499,43,94.96945968102227,11.216768568092904
35,面粗,2.086299999973562,10.06550000010975,1.0726999998951214,12.489700000060111,25.72310000005018,0.0,43528,1499,43,94.96945968102227,11.216768568092904
36,面粗,1.9852000000355474,9.927699999934703,0.9956999997484672,12.67920000009326,25.59400000018286,0.0,43528,1499,43,94.96945968102227,11.216768568092904
37,面粗,2.6009999996858824,10.726200000135577,0.9782000001905544,12.894899999992049,27.2093000003224,0.0,43736,1536,43,98.2193897730831,11.600615268153804
38,面粗,2.3873999998613726,10.709499999848049,1.0028000001511828,12.876799999958166,26.983000000200263,0.0,43846,1555,43,100.55434635657002,11.876395163095667
39,面粗,2.1174999997128907,10.560499999883177,1.0431000000608037,12.57050000003801,26.299999999991996,0.0,43846,1555,43,100.55434635657002,11.876395163095667
40,面粗,2.091500000005908,10.297499999978754,1.0187999996560393,12.722599999960948,26.1384000000362,0.0,43846,1555,43,100.55434635657002,11.876395163095667
41,面粗,2.5948999996217026,11.062099999890052,0.9665000002314628,12.76209999969069,27.395500000238826,0.0,44002,1587,43,106.4874828323882,12.577153269498387
